seed_keyword,campaign_family,total_candidates,include_count,review_count,negative_count
mercedes diagnostics near me,Diagnostics & VOR,27,8,15,4
mobile mercedes diagnostics,Diagnostics & VOR,24,4,16,4
van diagnostics near me,Diagnostics & VOR,27,3,17,7
mercedes sprinter service,Mercedes Van Servicing,29,1,16,12
mobile sprinter service,Mercedes Van Servicing,27,2,18,7
sprinter service near me,Mercedes Van Servicing,27,2,21,4
fuel economy remap van,Van Tuning,20,3,16,1
van economy remap,Van Tuning,18,2,13,3
van economy tune,Van Tuning,21,3,15,3
