seed_keyword,campaign_family,total_candidates,include_count,review_count,negative_count
mercedes diagnostics near me,Diagnostics & VOR,26,9,14,3
mobile mercedes diagnostics,Diagnostics & VOR,24,4,16,4
van diagnostics near me,Diagnostics & VOR,27,3,18,6
mercedes sprinter service,Mercedes Van Servicing,29,1,17,11
mobile sprinter service,Mercedes Van Servicing,29,3,19,7
sprinter service near me,Mercedes Van Servicing,27,2,21,4
fuel economy remap van,Van Tuning,17,3,13,1
van economy remap,Van Tuning,1,1,0,0
van economy tune,Van Tuning,21,3,15,3
