seed_keyword,campaign_family,total_candidates,include_count,review_count,negative_count
mercedes diagnostics near me,Diagnostics & VOR,27,11,13,3
mobile mercedes diagnostics,Diagnostics & VOR,24,6,14,4
van diagnostics near me,Diagnostics & VOR,27,5,15,7
mercedes sprinter service,Mercedes Van Servicing,29,1,16,12
mobile sprinter service,Mercedes Van Servicing,27,2,18,7
sprinter service near me,Mercedes Van Servicing,27,2,22,3
fuel economy remap van,Van Tuning,20,5,14,1
van economy remap,Van Tuning,18,5,10,3
van economy tune,Van Tuning,21,5,13,3
