Date,Start,End,From,To,Distance,Duration,Classification,Deductibility,Purpose,Vehicle,Notes,Expense,Source,trip_id,trip_start_iso_utc,trip_end_iso_utc,trip_date_utc,trip_start_time_utc,trip_end_time_utc,trip_duration_seconds,trip_distance_meters,trip_distance_raw_meters,trip_distance_filtered_meters,trip_distance_snapped_meters,trip_distance_method,trip_distance_units,trip_distance_unit,trip_is_business,trip_is_commute,trip_is_private,trip_classification,trip_classification_source,trip_tracking_method,trip_route_points_count,trip_route_quality_score,trip_match_confidence,trip_vehicle_id,trip_vehicle_name,trip_reimbursable_units,trip_reimbursement_rate_per_unit,trip_reimbursement_rate_label,trip_reimbursement_amount,trip_total_amount,trip_reimbursement_capped,trip_start_address_raw,trip_end_address_raw,trip_purpose_raw,trip_notes_raw,expense_amount_raw,expense_currency,vehicle_trip_count,vehicle_total_distance_meters,vehicle_business_distance_meters,vehicle_commute_distance_meters,vehicle_private_distance_meters,vehicle_medical_distance_meters,vehicle_charity_distance_meters,vehicle_moving_distance_meters,vehicle_reimbursable_distance_meters,vehicle_reimbursement_amount,vehicle_odometer_opening_value,vehicle_odometer_opening_date,vehicle_odometer_closing_value,vehicle_odometer_closing_date,vehicle_odometer_distance_units,vehicle_gps_distance_units,vehicle_odometer_variance_percent,vehicle_odometer_status,report_id,report_label,report_period,report_created_at_iso_utc,report_trip_count,report_total_distance_meters,report_total_expenses_amount,report_reimbursement_amount,report_total_value_amount,report_warning_count,report_info_count,report_issue_summary,report_filter_period_type,report_filter_classification,report_filter_vehicle_id,report_filter_place_id,report_filter_purpose_query,report_filter_date_from,report_filter_date_to,report_tax_country_code,report_tax_country_label,report_tax_template,report_tax_profile_origin,report_tax_authority,report_tax_authority_url,report_tax_year,report_rate_model,report_rate_label,report_rate_per_unit,report_commute_treatment,report_compliance_notes,report_rate_variants_note,report_reimbursement_cap_units_per_year,report_reimbursement_cap_per_vehicle,report_source_links,report_currency,report_distance_unit,export_schema_version
28/03/2026,11:00,12:00,Tonbridge,"London, England, SE22 0BE, United Kingdom",31.63 mi,3600,business,deductible,Travel to customer site to carry out Standard Diagnosis,My Car,'-,,user,trip-voi0qpla,2026-03-28T11:00:00.000Z,2026-03-28T12:00:00.000Z,2026-03-28,11:00:00,12:00:00,3600,50900,,,50895,,31.6278,miles,1,0,0,business,user,manual,220,,0.86,vehicle-9f5wu1xc,My Car,31.6278,0.4500,£0.45/mi,14.23,14.23,0,Tonbridge,"London, England, SE22 0BE, United Kingdom",Travel to customer site to carry out Standard Diagnosis,,,GBP,2,61900,61900,0,0,0,0,0,61900,17.31,,,,,,,,insufficient,report-p6fa60nl,MONTH • March 2026,March 2026,2026-03-29T02:32:43.460Z,2,61900,0.00,17.31,17.31,0,1,Weekend business trips: 2 UK business trips occur on weekends. Ensure supporting purpose notes are complete.,month,business,all,all,,2026-03-01,2026-03-31,GB,United Kingdom (HMRC),uk-hmrc,official,HM Revenue & Customs (HMRC),https://www.gov.uk/expenses-and-benefits-business-travel-mileage/rules-for-tax,2026,tiered,"45p/mile (first 10,000), then 25p/mile",0.45,not_deductible,"Ordinary home-to-work commuting is generally not allowable. Keep journey date, distance and business purpose for each claim.",,,0,HMRC mileage rules and rates: https://www.gov.uk/expenses-and-benefits-business-travel-mileage/rules-for-tax | GOV.UK employee vehicle tax relief: https://www.gov.uk/tax-relief-for-employees/vehicles-you-use-for-work,GBP,miles,miletrack-accounting
28/03/2026,13:30,14:30,"London, England, SE22 0BE, United Kingdom","London, England, SE9 4HA, United Kingdom",6.84 mi,3600,business,deductible,Return travel after completing customer Standard Diagnosis,My Car,'-,,user,trip-eoino05s,2026-03-28T13:30:00.000Z,2026-03-28T14:30:00.000Z,2026-03-28,13:30:00,14:30:00,3600,11000,,,,,6.8351,miles,1,0,0,business,user,manual,186,,,vehicle-9f5wu1xc,My Car,6.8351,0.4500,£0.45/mi,3.08,3.08,0,"London, England, SE22 0BE, United Kingdom","London, England, SE9 4HA, United Kingdom",Return travel after completing customer Standard Diagnosis,,,GBP,2,61900,61900,0,0,0,0,0,61900,17.31,,,,,,,,insufficient,report-p6fa60nl,MONTH • March 2026,March 2026,2026-03-29T02:32:43.460Z,2,61900,0.00,17.31,17.31,0,1,Weekend business trips: 2 UK business trips occur on weekends. Ensure supporting purpose notes are complete.,month,business,all,all,,2026-03-01,2026-03-31,GB,United Kingdom (HMRC),uk-hmrc,official,HM Revenue & Customs (HMRC),https://www.gov.uk/expenses-and-benefits-business-travel-mileage/rules-for-tax,2026,tiered,"45p/mile (first 10,000), then 25p/mile",0.45,not_deductible,"Ordinary home-to-work commuting is generally not allowable. Keep journey date, distance and business purpose for each claim.",,,0,HMRC mileage rules and rates: https://www.gov.uk/expenses-and-benefits-business-travel-mileage/rules-for-tax | GOV.UK employee vehicle tax relief: https://www.gov.uk/tax-relief-for-employees/vehicles-you-use-for-work,GBP,miles,miletrack-accounting
