Campaign report
All time
Row Type,Action,Campaign status,Campaign,Budget,Budget name,Budget type,Currency code,Status,Status reasons,Optimization score,Campaign type,Impr.,CTR,Cost,Bid strategy type,Clicks,Conv. rate,Conversions,Avg. CPC,Cost / conv.,Location,Exclusion,Bid strategy,Campaign ID,Campaign subtype,bid_config.target_cpa.target_cpa,bid_config.target_roas.target_roas,Target Impression Share,Max CPC Bid Limit for Target IS,Location Goal for Target IS
Campaign,Edit,Enabled,Search | Diagnostics & VOR | Kent + SE London,70.00,Portfolio Maximize Conversions_8037735488-300-1774410365953- created on 3/25/2026 3:46 AM,Daily,GBP,Eligible (Learning),bidding strategy learning; unknown,99.39,Search,49,22.45%,42.14,Maximize Conversions,11,27.27%,3.00,3.83,14.05,"Chatham, England, United Kingdom;Dartford, England, United Kingdom;Gravesend, England, United Kingdom;Grays, England, United Kingdom;Hildenborough, England, United Kingdom;Maidstone, England, United Kingdom;Northfleet, England, United Kingdom;Rochester, England, United Kingdom;Royal Tunbridge Wells, England, United Kingdom;Sevenoaks, England, United Kingdom;Sittingbourne, England, United Kingdom;Swanley, England, United Kingdom;Tonbridge, England, United Kingdom;West Malling, England, United Kingdom;Westerham, England, United Kingdom;SE10, England, United Kingdom;SE3, England, United Kingdom;SE7, England, United Kingdom;SE18, England, United Kingdom;SE9, England, United Kingdom;DA16, England, United Kingdom;DA14, England, United Kingdom;SE12, England, United Kingdom;SE13, England, United Kingdom;SE6, England, United Kingdom;BR1, England, United Kingdom;BR7, England, United Kingdom;BR2, England, United Kingdom;BR4, England, United Kingdom;BR5, England, United Kingdom;BR6, England, United Kingdom;BR8, England, United Kingdom;TN14, England, United Kingdom;DA4, England, United Kingdom;DA2, England, United Kingdom;DA5, England, United Kingdom;DA1, England, United Kingdom;DA7, England, United Kingdom;DA8, England, United Kingdom;DA17, England, United Kingdom;DA9, England, United Kingdom;DA3, England, United Kingdom;TN15, England, United Kingdom;DA13, England, United Kingdom;DA11, England, United Kingdom;DA12, England, United Kingdom;ME3, England, United Kingdom;ME2, England, United Kingdom;ME1, England, United Kingdom;ME5, England, United Kingdom;ME4, England, United Kingdom;ME7, England, United Kingdom;ME8, England, United Kingdom;ME9, England, United Kingdom;ME10, England, United Kingdom;ME17, England, United Kingdom;TN12, England, United Kingdom;ME14, England, United Kingdom;ME15, England, United Kingdom;ME16, England, United Kingdom;ME18, England, United Kingdom;ME20, England, United Kingdom;ME19, England, United Kingdom;ME6, England, United Kingdom;TN4, England, United Kingdom;TN11, England, United Kingdom;TN9, England, United Kingdom;TN13, England, United Kingdom;TN8, England, United Kingdom;TN16, England, United Kingdom;BR3, England, United Kingdom;SE25, England, United Kingdom;SE20, England, United Kingdom;SE19, England, United Kingdom;SE26, England, United Kingdom;SE23, England, United Kingdom;SE4, England, United Kingdom;SE8, England, United Kingdom;DA6, England, United Kingdom;Woolwich, England, United Kingdom;SE28, England, United Kingdom;TN10, England, United Kingdom;SE24, England, United Kingdom;DA10, England, United Kingdom;DA15, England, United Kingdom;West Kingsdown, England, United Kingdom;Erith, England, United Kingdom;Meopham, England, United Kingdom;Chislehurst, England, United Kingdom;Stone, England, United Kingdom;Swanscombe and Greenhithe Civil Parish, England, United Kingdom;Paddock Wood, England, United Kingdom;Kings Hill, England, United Kingdom;Snodland, England, United Kingdom;Sidcup, England, United Kingdom;Bexley, England, United Kingdom;Biggin Hill, England, United Kingdom;West Wickham, England, United Kingdom;Beckenham, England, United Kingdom;Bexleyheath, England, United Kingdom;Forest Hill, England, United Kingdom;Aylesford, England, United Kingdom;Welling, England, United Kingdom;Petts Wood, England, United Kingdom;Belvedere, England, United Kingdom;London Borough of Lewisham, England, United Kingdom;Bromley, England, United Kingdom;Royal Borough of Greenwich, England, United Kingdom;Orpington, England, United Kingdom;Speldhurst, England, United Kingdom;Wrotham, England, United Kingdom;Hever, England, United Kingdom;Southborough, England, United Kingdom;Pembury, England, United Kingdom","Birmingham, England, United Kingdom; Brighton, England, United Kingdom; Cosham, England, United Kingdom; East Leake, England, United Kingdom; Fulham, England, United Kingdom; Guernsey; Hamble-le-Rice, England, United Kingdom; Hampstead, England, United Kingdom; Harrow, England, United Kingdom; Isle of Man; Jersey; London Borough of Islington, England, United Kingdom; Luton, England, United Kingdom; Manchester, England, United Kingdom; North East, England, United Kingdom; North West, United Kingdom; Northern Ireland, United Kingdom; Reading, England, United Kingdom; Royal Borough of Kensington and Chelsea, England, United Kingdom; Scotland, United Kingdom; South West, England, United Kingdom; Southall, England, United Kingdom; Stanwell, England, United Kingdom; Wales, United Kingdom; Wembley, England, United Kingdom; Westminster, England, United Kingdom",Portfolio Maximize Conversions_8037735488-300-1774410365953-,23675426289,Standard, --, --, --, --, --
Campaign,Edit,Enabled,Search | Servicing & Brakes | Kent + SE London,70.00,Portfolio Maximize Conversions_8037735488-300-1774410365953- created on 3/25/2026 3:46 AM,Daily,GBP,Eligible (Learning),bidding strategy learning; unknown,99.80,Search,124,3.23%,14.12,Maximize Conversions,4,75.00%,3.00,3.53,4.71,"Chatham, England, United Kingdom;Dartford, England, United Kingdom;Gravesend, England, United Kingdom;Grays, England, United Kingdom;Hildenborough, England, United Kingdom;Maidstone, England, United Kingdom;Northfleet, England, United Kingdom;Rochester, England, United Kingdom;Royal Tunbridge Wells, England, United Kingdom;Sevenoaks, England, United Kingdom;Sittingbourne, England, United Kingdom;Swanley, England, United Kingdom;Tonbridge, England, United Kingdom;West Malling, England, United Kingdom;Westerham, England, United Kingdom;SE10, England, United Kingdom;SE3, England, United Kingdom;SE7, England, United Kingdom;SE18, England, United Kingdom;SE9, England, United Kingdom;DA16, England, United Kingdom;DA14, England, United Kingdom;SE12, England, United Kingdom;SE13, England, United Kingdom;SE6, England, United Kingdom;BR1, England, United Kingdom;BR7, England, United Kingdom;BR2, England, United Kingdom;BR4, England, United Kingdom;BR5, England, United Kingdom;BR6, England, United Kingdom;BR8, England, United Kingdom;TN14, England, United Kingdom;DA4, England, United Kingdom;DA2, England, United Kingdom;DA5, England, United Kingdom;DA1, England, United Kingdom;DA7, England, United Kingdom;DA8, England, United Kingdom;DA17, England, United Kingdom;DA9, England, United Kingdom;DA3, England, United Kingdom;TN15, England, United Kingdom;DA13, England, United Kingdom;DA11, England, United Kingdom;DA12, England, United Kingdom;ME3, England, United Kingdom;ME2, England, United Kingdom;ME1, England, United Kingdom;ME5, England, United Kingdom;ME4, England, United Kingdom;ME7, England, United Kingdom;ME8, England, United Kingdom;ME9, England, United Kingdom;ME10, England, United Kingdom;ME17, England, United Kingdom;TN12, England, United Kingdom;ME14, England, United Kingdom;ME15, England, United Kingdom;ME16, England, United Kingdom;ME18, England, United Kingdom;ME20, England, United Kingdom;ME19, England, United Kingdom;ME6, England, United Kingdom;TN4, England, United Kingdom;TN11, England, United Kingdom;TN9, England, United Kingdom;TN13, England, United Kingdom;TN8, England, United Kingdom;TN16, England, United Kingdom;BR3, England, United Kingdom;SE25, England, United Kingdom;SE20, England, United Kingdom;SE19, England, United Kingdom;SE26, England, United Kingdom;SE23, England, United Kingdom;SE4, England, United Kingdom;SE8, England, United Kingdom;DA6, England, United Kingdom;Woolwich, England, United Kingdom;SE28, England, United Kingdom;TN10, England, United Kingdom;SE24, England, United Kingdom;DA10, England, United Kingdom;DA15, England, United Kingdom;West Kingsdown, England, United Kingdom;Erith, England, United Kingdom;Meopham, England, United Kingdom;Chislehurst, England, United Kingdom;Stone, England, United Kingdom;Swanscombe and Greenhithe Civil Parish, England, United Kingdom;Paddock Wood, England, United Kingdom;Kings Hill, England, United Kingdom;Snodland, England, United Kingdom;Sidcup, England, United Kingdom;Bexley, England, United Kingdom;Biggin Hill, England, United Kingdom;West Wickham, England, United Kingdom;Beckenham, England, United Kingdom;Bexleyheath, England, United Kingdom;Forest Hill, England, United Kingdom;Aylesford, England, United Kingdom;Welling, England, United Kingdom;Petts Wood, England, United Kingdom;Belvedere, England, United Kingdom;London Borough of Lewisham, England, United Kingdom;Bromley, England, United Kingdom;Royal Borough of Greenwich, England, United Kingdom;Orpington, England, United Kingdom;Speldhurst, England, United Kingdom;Wrotham, England, United Kingdom;Hever, England, United Kingdom;Southborough, England, United Kingdom;Pembury, England, United Kingdom","Birmingham, England, United Kingdom; Brighton, England, United Kingdom; Cosham, England, United Kingdom; East Leake, England, United Kingdom; Fulham, England, United Kingdom; Guernsey; Hamble-le-Rice, England, United Kingdom; Hampstead, England, United Kingdom; Harrow, England, United Kingdom; Isle of Man; Jersey; London Borough of Islington, England, United Kingdom; Luton, England, United Kingdom; Manchester, England, United Kingdom; North East, England, United Kingdom; North West, United Kingdom; Northern Ireland, United Kingdom; Reading, England, United Kingdom; Royal Borough of Kensington and Chelsea, England, United Kingdom; Scotland, United Kingdom; South West, England, United Kingdom; Southall, England, United Kingdom; Stanwell, England, United Kingdom; Wales, United Kingdom; Wembley, England, United Kingdom; Westminster, England, United Kingdom",Portfolio Maximize Conversions_8037735488-300-1774410365953-,23675431602,Standard, --, --, --, --, --
Campaign,Edit,Enabled,Search | Tuning | Commercial Vans | Kent + SE London,70.00,Portfolio Maximize Conversions_8037735488-300-1774410365953- created on 3/25/2026 3:46 AM,Daily,GBP,Eligible (Learning),bidding strategy learning; unknown,99.51,Search,66,3.03%,3.35,Maximize Conversions,2,0.00%,0.00,1.67,0.00,"Chatham, England, United Kingdom;Dartford, England, United Kingdom;Gravesend, England, United Kingdom;Grays, England, United Kingdom;Hildenborough, England, United Kingdom;Maidstone, England, United Kingdom;Northfleet, England, United Kingdom;Rochester, England, United Kingdom;Royal Tunbridge Wells, England, United Kingdom;Sevenoaks, England, United Kingdom;Sittingbourne, England, United Kingdom;Swanley, England, United Kingdom;Tonbridge, England, United Kingdom;West Malling, England, United Kingdom;Westerham, England, United Kingdom;SE10, England, United Kingdom;SE3, England, United Kingdom;SE7, England, United Kingdom;SE18, England, United Kingdom;SE9, England, United Kingdom;DA16, England, United Kingdom;DA14, England, United Kingdom;SE12, England, United Kingdom;SE13, England, United Kingdom;SE6, England, United Kingdom;BR1, England, United Kingdom;BR7, England, United Kingdom;BR2, England, United Kingdom;BR4, England, United Kingdom;BR5, England, United Kingdom;BR6, England, United Kingdom;BR8, England, United Kingdom;TN14, England, United Kingdom;DA4, England, United Kingdom;DA2, England, United Kingdom;DA5, England, United Kingdom;DA1, England, United Kingdom;DA7, England, United Kingdom;DA8, England, United Kingdom;DA17, England, United Kingdom;DA9, England, United Kingdom;DA3, England, United Kingdom;TN15, England, United Kingdom;DA13, England, United Kingdom;DA11, England, United Kingdom;DA12, England, United Kingdom;ME3, England, United Kingdom;ME2, England, United Kingdom;ME1, England, United Kingdom;ME5, England, United Kingdom;ME4, England, United Kingdom;ME7, England, United Kingdom;ME8, England, United Kingdom;ME9, England, United Kingdom;ME10, England, United Kingdom;ME17, England, United Kingdom;TN12, England, United Kingdom;ME14, England, United Kingdom;ME15, England, United Kingdom;ME16, England, United Kingdom;ME18, England, United Kingdom;ME20, England, United Kingdom;ME19, England, United Kingdom;ME6, England, United Kingdom;TN4, England, United Kingdom;TN11, England, United Kingdom;TN9, England, United Kingdom;TN13, England, United Kingdom;TN8, England, United Kingdom;TN16, England, United Kingdom;BR3, England, United Kingdom;SE25, England, United Kingdom;SE20, England, United Kingdom;SE19, England, United Kingdom;SE26, England, United Kingdom;SE23, England, United Kingdom;SE4, England, United Kingdom;SE8, England, United Kingdom;DA6, England, United Kingdom;Woolwich, England, United Kingdom;SE28, England, United Kingdom;TN10, England, United Kingdom;SE24, England, United Kingdom;DA10, England, United Kingdom;DA15, England, United Kingdom;West Kingsdown, England, United Kingdom;Erith, England, United Kingdom;Meopham, England, United Kingdom;Chislehurst, England, United Kingdom;Stone, England, United Kingdom;Swanscombe and Greenhithe Civil Parish, England, United Kingdom;Paddock Wood, England, United Kingdom;Kings Hill, England, United Kingdom;Snodland, England, United Kingdom;Sidcup, England, United Kingdom;Bexley, England, United Kingdom;Biggin Hill, England, United Kingdom;West Wickham, England, United Kingdom;Beckenham, England, United Kingdom;Bexleyheath, England, United Kingdom;Forest Hill, England, United Kingdom;Aylesford, England, United Kingdom;Welling, England, United Kingdom;Petts Wood, England, United Kingdom;Belvedere, England, United Kingdom;London Borough of Lewisham, England, United Kingdom;Bromley, England, United Kingdom;Royal Borough of Greenwich, England, United Kingdom;Orpington, England, United Kingdom;Speldhurst, England, United Kingdom;Wrotham, England, United Kingdom;Hever, England, United Kingdom;Southborough, England, United Kingdom;Pembury, England, United Kingdom","Birmingham, England, United Kingdom; Brighton, England, United Kingdom; Cosham, England, United Kingdom; East Leake, England, United Kingdom; Fulham, England, United Kingdom; Guernsey; Hamble-le-Rice, England, United Kingdom; Hampstead, England, United Kingdom; Harrow, England, United Kingdom; Isle of Man; Jersey; London Borough of Islington, England, United Kingdom; Luton, England, United Kingdom; Manchester, England, United Kingdom; North East, England, United Kingdom; North West, United Kingdom; Northern Ireland, United Kingdom; Reading, England, United Kingdom; Royal Borough of Kensington and Chelsea, England, United Kingdom; Scotland, United Kingdom; South West, England, United Kingdom; Southall, England, United Kingdom; Stanwell, England, United Kingdom; Wales, United Kingdom; Wembley, England, United Kingdom; Westminster, England, United Kingdom",Portfolio Maximize Conversions_8037735488-300-1774410365953-,23680861130,Standard, --, --, --, --, --
Total: Campaigns,, --, --, --, --, --,GBP, --,, --, --,"1,358",8.76%,305.71, --,119,5.04%,6.00,2.57,50.95,,,,,,,,,,
Total: Account,,,,,,,GBP,,,,,"1,358",8.76%,305.71,,119,5.04%,6.00,2.57,50.95,,,,,,,,,,
Total: Search,,,,,,,GBP,,,,Search,"1,358",8.76%,305.71,,119,5.04%,6.00,2.57,50.95,,,,,,,,,,
