Advanced bid adjustment report
All time
Interaction type,Campaign,Bid adj.,Interactions,Impr.,CTR,Currency code,Avg. CPC,Cost,Inter. coverage,Conv. rate,Conversions,Cost / conv.
Calls,TriPoint | Search | Mercedes Vans | Kent + SE London, --,1,275,0.36%,GBP,2.41,2.41,28.44%,0.00%,0.00,0.00
Calls,Search | Tuning | Commercial Vans | Kent + SE London, --,0,0, --,GBP,0,0.00, --,0.00%,0.00,0.00
Calls,Search | Servicing & Brakes | Kent + SE London, --,0,3,0.00%,GBP,0,0.00,50.00%,0.00%,0.00,0.00
Calls,Search | Diagnostics & VOR | Kent + SE London, --,0,15,0.00%,GBP,0,0.00,33.33%,0.00%,0.00,0.00
Calls,VOR & Mercedes Van Diagnostics, --,0,0, --,GBP,0,0.00, --,0.00%,0.00,0.00
Total: Interactions,,,1,293,0.34%,GBP,2.41,2.41,28.78%,0.00%,0.00,0.00
Total: Account,,,119,"1,365",8.72%,GBP,2.57,305.71,28.78%,5.04%,6.00,50.95
Total: Search,,,119,"1,365",8.72%,GBP,2.57,305.71,28.78%,5.04%,6.00,50.95
